epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3561.82,0.24325,0.17533,0.8178,0.99904,0.99699,0.99499,0.99075,0.15737,0.10854,0.76056,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3671.03,0.24219,0.17485,0.81677,0.99823,0.99765,0.99499,0.99101,0.156,0.10825,0.76025,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3780.43,0.24046,0.17442,0.81701,0.99888,0.99764,0.99499,0.99104,0.15554,0.10855,0.76077,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3889.42,0.24001,0.1725,0.81681,0.99844,0.99764,0.99499,0.99055,0.15724,0.10917,0.76091,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3999.05,0.23818,0.17034,0.81484,0.99833,0.99715,0.99499,0.99036,0.15435,0.10893,0.75959,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4108.01,0.23781,0.17118,0.81641,0.99841,0.9972,0.99499,0.99115,0.15306,0.10903,0.76045,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4217.09,0.2364,0.169,0.81557,0.9995,0.99683,0.99499,0.99077,0.15366,0.10356,0.75996,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4326.19,0.23416,0.16758,0.81374,0.99823,0.99764,0.99499,0.99112,0.1524,0.10397,0.75952,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4435.1,0.2331,0.16602,0.81296,0.99849,0.99782,0.99499,0.99074,0.15323,0.10406,0.75982,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4543.61,0.2321,0.16526,0.8131,0.99862,0.99775,0.99499,0.99104,0.15201,0.10225,0.75975,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4652.74,0.23108,0.16369,0.814,0.9988,0.99662,0.99499,0.991,0.15111,0.10324,0.75901,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4761.11,0.23168,0.16476,0.81223,0.99869,0.9973,0.995,0.99071,0.15096,0.09952,0.75902,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4870.21,0.2285,0.16261,0.81133,0.9984,0.99781,0.99499,0.99093,0.15106,0.10104,0.75931,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4979.71,0.22774,0.16192,0.81316,0.9986,0.9973,0.99499,0.99126,0.15039,0.10134,0.75901,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5088.92,0.22618,0.1599,0.81158,0.99845,0.9978,0.99499,0.99103,0.14955,0.09918,0.75857,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5197.2,0.2255,0.15903,0.81307,0.99863,0.99764,0.99499,0.99132,0.14997,0.09918,0.75911,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5306.32,0.22584,0.16125,0.81229,0.99834,0.99721,0.99499,0.99126,0.14936,0.09992,0.75879,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5414.7,0.22543,0.15952,0.81151,0.99847,0.99788,0.995,0.99182,0.1475,0.09808,0.75814,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
